QUALIFICATION,Category
स्नातक,Bachelor
I.s.c,2
ईन्जिनेरिङ ग्राजुएड,Bachelor
आई.ए.,2
एम.ए.,Masters
कक्षा १०,SLC
साक्षर,Under SLC
SEE,SLC
कक्षा ८,Under SLC
SLC,SLC
एस.एल.सी,SLC
I.A,2
स्नात्तकोतर व्यवस्थापन,Masters
आ.ए,2
आई .कम,2
12+,2
सामान्य,Under SLC
12,2
बि.ए,Bachelor
,
कक्षा 12,2
स्नातकोत्तर,Masters
साधारण,Under SLC
SLC (पूर्व मध्‍यमा),SLC
कक्षा 10 पास,SLC
slc,SLC
SLC ,SLC
SLC पास,SLC
2,2
प्रविणता प्रमाण पत्र,2
वि ए,Bachelor
स्नातक तह,Bachelor
आई कम ,2
एम ए एमसीजे विद्यावारिधिरत,Masters
2,2
माध्यामिक तह,SLC
कक्षा १२,2
बि ए ,Bachelor
विद्यावारिधी देल्लि विश्वविद्यालय 2007,PHD
एम ए अर्थशास्त्र / एम वि एस फाइनान्स,Masters
प्रविणता प्रमाण पत्र तह,2
डिप्लोमा,2
आइ. ए,2
स्‍नात्तकोतर,Masters
स्‍नातक,Bachelor
BA,Bachelor
आइ ए,2
‌+2,2
आई एड,2
स्‍नातक तह,Bachelor
एम ए,Masters
एस एल सि,SLC
एम ए राजनीति शास्त्र,Masters
सामान्य लेखपढ,Under SLC
एम एड,Masters
एस एल सी,SLC
एस एल सी (अन्डर),Under SLC
एस एल सी पास,SLC
इन्जिनियर,Bachelor
प्लस टु,2
BTU,Bachelor
10+2,2
BBS,Bachelor
bachelor,Bachelor
स्नात्कोत्तर,Masters
आचार्य,Masters
बिद्यावारीधि,PHD
एम.ए,Masters
एम.एड.,Masters
कक्षा ७ उत्तीर्ण,Under SLC
आई.ए,2
एम.ए. राजनौतिक शास्त्र,Masters
साधारण लेखपढ,Under SLC
अन्डर एस.एल.सी.,Under SLC
प्राथमिक तह,Under SLC
९ कक्षा,Under SLC
एम. एड,Masters
बि.एड,Bachelor
SLC/CMA,SLC
बि.एड. एम.ए समाज शास्त्र,Masters
एल.एल.बि,Bachelor
एस.एल.सि,SLC
+2 pass,2
 एस एल सी,SLC
आई.एड.,2
